_id,state.environment,state.map,state.turbine,state.binary,results.profit,changedSimSpeed,correctPower,results.correct,results.medianTimeOnTask,results.over,results.under,results.score,repairedTurbine,turbineOnOff,results.name,userId
ObjectId(5a9670c9907a2e77c94abac9),mountains,2,H,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.223300970873786,0.5,0.25",true,false,true,6.6445181328903615,0,19.933550398671006,73.42193146843863,6,true,true,ΕΥΓΜΑΡ,552d76f811b5e70fa94748bd540609e3c4c267e1
ObjectId(5a9670c9907a2e77c94abaca),,,,",,",true,false,true,6.312291873754162,0,22.923589541528205,70.76411858471762,,true,true,ΙΟΡΚΕΦ,97b46d9675b465d11375a2289630697c7293c757
ObjectId(5a9670c9907a2e77c94abacb),,,A,",,0,0,1,1,1",true,false,true,13.28904,1,34.55149,52.15947,,true,true,POLALE,9fb860427d30c7bcc910f11c55e1f7b5e3ef7fc6
ObjectId(5a9670c9907a2e77c94abacc),,,,",,",true,false,true,3.986710960132891,0,18.6046498139535,77.40863922591362,,true,true,ZEINIK,0cba8e36a9bc39cde914818771ce7bd24ade6d99
ObjectId(5a9670c9907a2e77c94abacd),,2,D,",0,0,0,0,0,0,0,0,1,0,0,0,0.41747572815534,0.5,0.5",false,false,false,0,0,0,100,4,false,false,POLALE,fd0192cc3de61d4f655233ab74ec8e0223760581
ObjectId(5a9670c9907a2e77c94abace),,,A,",,0,0,1,1,1",false,false,false,0,0,0,100,6,false,false,ΒΑΣΧΑΖ,64b07139dd38a73c35a14efb721c051fc052b86a
ObjectId(5a9670c9907a2e77c94abacf),,,B,",,0,0,0.41747572815534,0.5,0.5",,false,false,0,0,26.578070000000004,73.42193,9,true,true,ΒΑΣΧΑΖ,6e519ce33b45cfb0134083118bb33d676d91051a
ObjectId(5a9670c9907a2e77c94abad0),fields,1,D,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",true,false,true,5.722891309569601,0,30.120481053853954,64.15662763657645,8,true,true,ΝΙΚΔΟΜ,8cbbab9cf25b6c5fd9460a8bec60999dab6f9c11
ObjectId(5a9670c9907a2e77c94abad1),mountains,5,,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,",false,false,true,0,1,0,100,8,true,true,MICMAR,d8fc6702ecdb5f254c1c9d7da9f10a84d942b982
ObjectId(5a9670c9907a2e77c94abad2),,2,A,",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1",,false,true,0,1,31.468529554990436,68.53147044500957,,true,true,KANMIC,add5869a5d28a145c1ed73e80467206aaf4550d8
ObjectId(5a9670c9907a2e77c94abad3),seashore,3,G,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.41747572815534,0.973684210526316,0.75",,false,false,,,,,,false,false,,7ad233811b9c139398c59814a597bc19b8a69563
ObjectId(5a9670c9907a2e77c94abad4),seashore,,,"0,0,0,1,0,,",,false,false,,,,,,true,true,,d1a95a52bfe20fc7274ed624df6d1395410f4a9b
ObjectId(5a9670c9907a2e77c94abad5),,3,G,",0,0,0,0,0,0,0,1,0,0,0,0,0.41747572815534,0.973684210526316,0.75",,false,true,,,,,,true,true,,124289b5b4e95b3d3d5ecefeebbfdb5ba48bf4bd
ObjectId(5a9670c9907a2e77c94abad6),,,,,,false,,,,,,,false,false,,a4b29d0937031d25953cce1d03825107087a197a
ObjectId(5a9670c9907a2e77c94abad7),seashore,1,G,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.973684210526316,0.75",true,false,true,10.299,0,15.61462,74.08638,6,true,true,ΣΤΑΔΗΜ,70630489b55141fd2c509bdbe7b8e815e8d22683
ObjectId(5a9670c9907a2e77c94abad8),fields,2,C,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.00970873786407768,0,0",true,false,true,1.077301913905202,0,25.208096789389575,73.71460129670521,6,true,true,ΚΛΟΚΝΙΚ,f4212ae7dbe26039c55882cb223e810e73dfde6c
ObjectId(5a9670c9907a2e77c94abad9),,1,,",0,0,0,0,0,0,0,0,0,1,",true,false,true,4.651163325581433,0,11.960130837209157,83.38870583720941,7,true,true,ΣΤΕΜΠΟ,2ad2d980e83457cc151c53e5b593fc0136e1f0bd
ObjectId(5a9670c9907a2e77c94abada),mountains,5,,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,",true,false,false,4.983388099667762,0,18.272420365448404,76.74419153488383,6,true,true,ΠΑΝΓΙΑ,048bb26b921dc0dd5e5b2b194794b3e884324ced
